sample,pValue,rank1,score1,rank2,score2,rank3,score3,rank4,score4,rank5,score5
1041_MICA-cons1989-1998,0.06209708,1960,41.6288,1947,41.7096,1982,42.3001,1949,42.3839,1974,42.5254
1051_MICA-cons1987-1996,0.01127934,1987,14.9864,1940,16.8105,1978,16.8532,1979,16.9266,1958,17.0003
1201_MICA-cons1926-1935,0.06737666,1957,24.6861,1955,24.9866,1940,25.027,1961,25.0604,1956,25.1097
1201_MICA-cons1927-1936,0.066093,1941,24.6395,1962,24.6764,1956,24.7822,1948,24.9329,1963,25.1387
1201_MICA-cons1959-1968,0.07142799,1968,30.489,1964,30.675,1965,31.0589,1956,31.0953,1970,31.103
1201_MICA-cons1985-1994,0.04485712,1979,29.9796,1967,30.3097,1955,30.8215,1940,30.8416,1954,30.8692
1291_MICA-cons1975-1984,0.01941688,1975,25.4041,1955,25.6049,1956,26.4816,1949,26.5772,1960,26.754
1291_MICA-cons1992-2001,0.04033342,1961,27.2015,1945,27.8307,1992,27.9537,1952,27.9731,1942,27.9903
1301_MICA-cons1952-1961,0.00483786,1952,24.3409,1945,25.5082,1943,25.7049,1944,25.7277,1962,25.9956
1321_MICA-cons1949-1958,0.06108303,1976,16.4954,1949,16.6389,1980,16.6978,1960,16.8678,1995,17.0663
1321_MICA-cons1963-1972,0.05812898,1963,17.2659,1982,17.3087,1993,17.551,1972,17.6087,1975,17.902
1331_MICA-cons1968-1977,0.04491982,1995,19.5415,1956,19.5822,1944,19.854,1968,19.9328,1936,20.0059
1341_MICA-cons1981-1990,7.877e-05,1981,20.4249,1986,23.8483,1962,24.0983,1983,24.1428,1957,24.6022
1351_MICA-cons1980-1989,0.00131452,1980,30.4778,1940,31.7299,1960,32.4455,1941,32.5248,1986,32.8092
1351_MICA-cons1994-2003,0.00526259,1994,29.9226,1979,31.4539,1985,31.4588,1960,31.4664,1984,31.5415
1371_MICA-cons1980-1989,0.00062267,1980,27.371,1985,29.1596,1986,30.1778,1932,30.2994,1976,30.3069
1381_MICA-cons1988-1997,0.02703094,1988,20.2495,1946,20.6645,1979,21.305,1980,21.4781,1976,21.5546
1381_MICA-cons1991-2000,0.01020972,1991,20.9437,1980,21.8261,1970,22.1471,1977,22.3085,1945,22.6405
1441_MICA-cons1925-1934,0.02238353,1977,27.4627,1945,28.153,1986,28.1987,1954,28.3405,1936,28.4669
1441_MICA-cons1927-1936,0.01229021,1979,25.331,1938,25.3483,1953,26.4706,1947,27.0513,1927,27.1309
1441_MICA-cons1930-1939,0.01594185,1941,24.9155,1950,26.175,1956,26.376,1982,26.4232,1930,26.4771
1441_MICA-cons1963-1972,0.02301371,1984,20.0556,1963,20.2466,1994,20.6495,1978,20.7713,1957,21.0057
1461_MICA-cons1971-1980,0.01613958,1995,23.1644,1980,23.8548,1971,23.8608,1982,24.0839,1979,24.5159
1491_MICA-cons1963-1972,0.03232289,1963,18.09,1964,18.2617,1979,18.7005,1944,18.8536,1962,18.9554
1521_MICA-cons1974-1983,0.02205082,1974,24.9351,1984,25.6141,1983,25.9371,1959,26.0571,1960,26.0918
1521_MICA-cons1977-1986,0.02355532,1977,23.3913,1963,23.9652,1935,24.42,1941,24.5339,1945,24.5356
1521_MICA-cons1978-1987,0.00706004,1978,22.9359,1964,24.2959,1936,24.5297,1979,24.5889,1946,24.7475
1531_MICA-cons1988-1997,0.00416674,1988,18.7407,1964,20.9419,1975,21.0737,1945,21.0879,1973,21.3117
1571_MICA-cons1937-1946,0.02283048,1937,31.5875,1983,31.7286,1982,32.0855,1964,32.6009,1960,32.6335
1571_MICA-cons1963-1972,0.00327673,1963,24.1629,1945,25.8572,1956,26.3351,1982,26.625,1948,26.6818
1591_MICA-cons1952-1961,0.02091405,1952,20.22,1971,20.7173,1943,21.0698,1950,21.545,1976,21.6646
1631_MICA-cons1960-1969,0.00686702,1960,21.0633,1959,22.2659,1979,22.3517,1955,22.4237,1994,22.4342
1631_MICA-cons1969-1978,0.02770959,1969,24.386,1993,24.7749,1979,25.4444,1944,25.5547,1985,25.5765
401_MICA-cons1932-1941,0.06034709,1932,27.2007,1965,27.3065,1993,27.5626,1947,27.6053,1973,27.7031
401_MICA-cons1958-1967,0.0031773,1958,26.9373,1956,28.299,1946,28.4849,1953,29.259,1978,29.4436
421_MICA-cons1991-2000,0.03566734,1978,52.3513,1942,52.559,1981,52.6366,1969,52.7479,1982,53.1507
441_MICA-cons1983-1992,0.00524635,1983,14.64,1985,15.2483,1944,16.6779,1943,16.966,1941,17.0367
441_MICA-cons1984-1993,0.0129682,1984,15.6843,1986,16.4758,1945,17.3039,1942,17.6023,1935,17.6087
531_MICA-cons1979-1988,0.02934802,1986,33.2896,1979,33.5589,1987,33.6171,1940,33.7291,1960,33.8785
561_MICA-cons1972-1981,0.00644688,1972,28.022,1991,29.5885,1977,29.831,1937,30.704,1978,30.8142
561_MICA-cons1981-1990,0.00362834,1981,34.6984,1942,35.8657,1989,36.1119,1980,37.0533,1991,37.1552
571_MICA-cons1980-1989,0.03477894,1980,15.983,1977,16.3428,1974,16.361,1976,16.6862,1961,17.019
571_MICA-cons1984-1993,0.04165418,1984,17.0085,1979,17.2134,1947,17.7275,1981,17.8012,1963,17.8952
671_MICA-cons1991-2000,1.152e-05,1991,30.6302,1986,37.0664,1990,37.597,1968,38.084,1992,38.4445
721_MICA-cons1958-1967,0.04750586,1938,19.1329,1965,19.3253,1946,19.7415,1986,19.8141,1945,19.8313
751_MICA-cons1989-1998,0.04077162,1989,36.4148,1986,36.4891,1982,36.576,1980,37.1284,1955,37.3707
781_MICA-cons1942-1951,0.09126045,1990,12.1763,1978,12.1819,1986,12.3672,1962,12.5263,1974,12.5342
781_MICA-cons1982-1991,0.03224365,1982,12.6979,1986,13.4445,1956,13.9421,1975,14.0735,1965,14.1891
851_MICA-cons1969-1978,0.05187766,1985,21.4828,1940,21.6682,1988,21.6712,1978,21.7115,1969,21.7122
961_MICA-cons1920-1929,0.04110338,1986,18.1453,1933,18.4469,1942,18.5794,1981,18.5862,1974,18.7208
