sample,rank1,score1,rank2,score2,rank3,score3,rank4,score4,rank5,score5
1041_MICA-cons1989-1998,1960,41.6288,1974,42.5254,1978,42.6254,1988,42.6888,1989,43.3536
1051_MICA-cons1987-1996,1987,14.9864,1940,16.8105,1986,17.3283,1972,17.4163,1956,17.739
1201_MICA-cons1926-1935,1955,24.9866,1940,25.027,1941,25.8059,1942,25.8411,1954,26.3542
1201_MICA-cons1927-1936,1941,24.6395,1955,25.4074,1940,26.0127,1942,26.0688,1943,26.1376
1201_MICA-cons1959-1968,1964,30.675,1965,31.0589,1957,31.3672,1976,32.126,1979,32.1798
1201_MICA-cons1985-1994,1955,30.8215,1940,30.8416,1939,31.3007,1964,31.5223,1970,31.8177
1291_MICA-cons1975-1984,1975,25.4041,1956,26.4816,1958,26.8556,1942,27.3304,1957,27.6888
1291_MICA-cons1992-2001,1961,27.2015,1992,27.9537,1948,28.0643,1979,28.4247,1947,28.7055
1301_MICA-cons1952-1961,1952,24.3409,1962,25.9956,1979,26.2789,1933,26.5364,1934,26.7648
1321_MICA-cons1949-1958,1976,16.4954,1980,16.6978,1960,16.8678,1961,17.415,1979,17.6271
1321_MICA-cons1963-1972,1963,17.2659,1962,17.9242,1990,18.6416,1961,18.722,1992,18.8144
1331_MICA-cons1968-1977,1995,19.5415,1968,19.9328,1942,20.3176,1940,20.4073,1966,21.0347
1341_MICA-cons1981-1990,1981,20.4249,1962,24.0983,1983,24.1428,1982,25.0334,1935,25.3467
1351_MICA-cons1980-1989,1940,31.7299,1986,32.8092,1930,33.1096,1988,33.5889,1987,33.5998
1351_MICA-cons1994-2003,1994,29.9226,1985,31.4588,1984,31.5415,1983,32.1309,1936,32.6994
1371_MICA-cons1980-1989,1986,30.1778,1931,30.3228,1989,30.5643,1941,30.9429,1966,30.977
1381_MICA-cons1988-1997,1988,20.2495,1976,21.5546,1940,21.6559,1985,21.9188,1941,22.1018
1381_MICA-cons1991-2000,1991,20.9437,1945,22.6405,1988,23.0269,1979,23.0562,1942,23.4752
1441_MICA-cons1925-1934,1977,27.4627,1936,28.4669,1930,28.7057,1949,28.7967,1925,28.9698
1441_MICA-cons1927-1936,1927,27.1309,1984,27.3334,1951,27.6104,1963,28.0328,1937,28.4155
1441_MICA-cons1930-1939,1930,26.4771,1987,26.491,1944,26.9735,1959,27.1098,1958,27.1942
1441_MICA-cons1963-1972,1984,20.0556,1963,20.2466,1992,21.0398,1954,21.498,1993,22.1689
1461_MICA-cons1971-1980,1980,23.8548,1979,24.5159,1960,25.2545,1944,25.4357,1990,25.4795
1491_MICA-cons1963-1972,1963,18.09,1962,18.9554,1982,18.9942,1992,19.1199,1984,19.1692
1521_MICA-cons1974-1983,1974,24.9351,1960,26.0918,1936,26.2162,1978,26.3564,1964,26.6226
1521_MICA-cons1977-1986,1977,23.3913,1978,24.5365,1932,24.9597,1984,25.1593,1927,25.3844
1521_MICA-cons1978-1987,1978,22.9359,1979,24.5889,1975,24.9905,1933,25.356,1980,25.3636
1531_MICA-cons1988-1997,1988,18.7407,1945,21.0879,1973,21.3117,1943,21.9796,1985,22.2381
1571_MICA-cons1937-1946,1937,31.5875,1985,32.7576,1966,33.1162,1939,33.2458,1986,33.2512
1571_MICA-cons1963-1972,1963,24.1629,1982,26.625,1948,26.6818,1951,26.8919,1962,27.1166
1591_MICA-cons1952-1961,1950,21.545,1991,22.1161,1962,22.145,1981,22.2196,1990,22.2855
1631_MICA-cons1960-1969,1960,21.0633,1959,22.2659,1979,22.3517,1980,22.8223,1946,22.9098
1631_MICA-cons1969-1978,1969,24.386,1993,24.7749,1944,25.5547,1985,25.5765,1957,26.0225
401_MICA-cons1932-1941,1932,27.2007,1973,27.7031,1941,27.8113,1938,27.9291,1942,28.2028
401_MICA-cons1958-1967,1958,26.9373,1946,28.4849,1959,30.086,1977,30.2291,1988,30.4588
421_MICA-cons1991-2000,1971,53.9953,1987,54.1477,1986,54.296,1994,54.4153,1929,54.9084
441_MICA-cons1983-1992,1980,17.226,1946,17.5173,1960,17.6046,1977,17.9351,1990,18.269
441_MICA-cons1984-1993,1944,17.6276,1961,17.9525,1979,17.9527,1947,18.5756,1978,18.6497
531_MICA-cons1979-1988,1987,33.6171,1942,34.2271,1931,34.3917,1930,34.5365,1988,34.6837
561_MICA-cons1972-1981,1972,28.022,1978,30.8142,1944,30.9906,1988,30.9953,1987,31.3933
561_MICA-cons1981-1990,1981,34.6984,1980,37.0533,1982,37.4906,1944,37.7468,1935,38.1425
571_MICA-cons1980-1989,1980,15.983,1977,16.3428,1976,16.6862,1961,17.019,1978,17.412
571_MICA-cons1984-1993,1984,17.0085,1947,17.7275,1963,17.8952,1992,18.2081,1969,18.578
671_MICA-cons1991-2000,1986,37.0664,1967,38.5961,1987,38.6563,1937,39.102,1984,39.1529
721_MICA-cons1958-1967,1945,19.8313,1967,19.9317,1942,20.2201,1941,20.4655,1972,20.5251
751_MICA-cons1989-1998,1989,36.4148,1974,37.4362,1992,37.6001,1952,38.0955,1993,38.5051
781_MICA-cons1942-1951,1986,12.3672,1974,12.5342,1966,13.0476,1971,13.1515,1984,13.7452
781_MICA-cons1982-1991,1982,12.6979,1963,14.4943,1964,15.3596,1992,15.4144,1961,15.4991
851_MICA-cons1969-1978,1985,21.4828,1940,21.6682,1969,21.7122,1941,22.4204,1967,22.6727
961_MICA-cons1920-1929,1981,18.5862,1946,19.1236,1983,19.3102,1926,19.4413,1935,19.5167
